,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,run_type,model_name,task,holdout_number
0,0.33956000208854675,0.8219738602638245,0.6454818844795227,0.5547237396240234,0.8681148290634155,0.5328307747840881,0.5966712832450867,0.7563446760177612,0.8672075271606445,0.3545181155204773,0.13279247283935547,0.4855707287788391,0.13168302178382874,0.10570184141397476,0.6902908682823181,0.07232429087162018,0.9051628112792969,0.44527626037597656,0.09483720362186432,0.3120388090610504,0.42518284916877747,0.7563446760177612,0.5983845591545105,0.4598865509033203,4.860827922821045,0.40880417823791504,3.1041579246520996,train,FFNN,promoters,8
1,0.34613537788391113,0.8167392611503601,0.6356722116470337,0.5435284376144409,0.862531304359436,0.5213595032691956,0.5860002040863037,0.7494127750396729,0.8631532788276672,0.3643277585506439,0.13684673607349396,0.4716184437274933,0.12969915568828583,0.10892526060342789,0.6870400905609131,0.0743354856967926,0.9023668766021729,0.4564715623855591,0.09763313829898834,0.3169310986995697,0.41442736983299255,0.7494127750396729,0.5877975225448608,0.44589531421661377,4.64513635635376,0.42208924889564514,2.9906256198883057,test,FFNN,promoters,8
0,0.34029653668403625,0.8288821578025818,0.46058523654937744,0.6060703992843628,0.8729276061058044,0.5823636054992676,0.5234062075614929,0.6919296383857727,0.923274040222168,0.5394147634506226,0.07672593742609024,0.42737987637519836,0.09396275877952576,0.061073288321495056,0.7349194288253784,0.11004455387592316,0.8697642087936401,0.3939296007156372,0.13023579120635986,0.2898465692996979,0.35446861386299133,0.6919296383857727,0.5283437371253967,0.47583460807800293,6.002985000610352,0.5842411518096924,2.24601149559021,train,tuned_FFNN,promoters,9
1,0.34698930382728577,0.8189417719841003,0.4416094124317169,0.5730658769607544,0.8654945492744446,0.555635392665863,0.4988222122192383,0.6786375641822815,0.9156656861305237,0.5583905577659607,0.08433432132005692,0.39552927017211914,0.0901036188006401,0.06712719798088074,0.7288381457328796,0.11393102258443832,0.864813506603241,0.4269340932369232,0.13518650829792023,0.30410638451576233,0.3322872519493103,0.6786375641822815,0.5030618906021118,0.43787938356399536,5.23640775680542,0.6098191738128662,2.111751079559326,test,tuned_FFNN,promoters,9
0,0.3388340175151825,0.8235883116722107,0.49457088112831116,0.579208254814148,0.871801495552063,0.5544617772102356,0.533553957939148,0.7012420296669006,0.9079131484031677,0.5054290890693665,0.09208685159683228,0.4276297688484192,0.10089607536792755,0.07330045849084854,0.7226922512054443,0.10311122983694077,0.8751382827758789,0.42079171538352966,0.1248617097735405,0.3014337718486786,0.3638415038585663,0.7012420296669006,0.535219132900238,0.45434653759002686,5.370694637298584,0.5566931366920471,2.3471906185150146,train,FFNN,promoters,9
1,0.3435274064540863,0.8189918398857117,0.4811089336872101,0.5664355754852295,0.8668730854988098,0.5399881601333618,0.5202971696853638,0.6933561563491821,0.9056034088134766,0.5188910961151123,0.09439657628536224,0.41173189878463745,0.09816288948059082,0.07513640820980072,0.7208289504051208,0.10587175190448761,0.8719345927238464,0.4335644245147705,0.12806539237499237,0.3069760799407959,0.35162273049354553,0.6933561563491821,0.5220317840576172,0.4383701682090759,5.096672534942627,0.5729781985282898,2.2611119747161865,test,FFNN,promoters,9
0,0.35017359256744385,0.819358229637146,0.3885651230812073,0.5864272117614746,0.8640700578689575,0.5529146194458008,0.4674193859100342,0.6591663360595703,0.9297674894332886,0.6114348769187927,0.07023253291845322,0.3751859664916992,0.0792701244354248,0.055904585868120193,0.7400881052017212,0.12473718822002411,0.8557660579681396,0.4135728180408478,0.14423397183418274,0.29831692576408386,0.30498844385147095,0.6591663360595703,0.47735223174095154,0.44219326972961426,5.532544136047363,0.6576212048530579,1.933982014656067,train,tuned_FFNN,promoters,10
1,0.3569665849208832,0.8149872422218323,0.37046122550964355,0.5719696879386902,0.8576390743255615,0.5412671566009521,0.4496724307537079,0.6496982574462891,0.9289352893829346,0.6295387744903564,0.07106471061706543,0.3562764525413513,0.07558692246675491,0.0565650500357151,0.739400327205658,0.12844771146774292,0.8519928455352783,0.4280303120613098,0.14800715446472168,0.30458056926727295,0.2900499403476715,0.6496982574462891,0.4603179097175598,0.4239625334739685,5.213005542755127,0.6776992082595825,1.8546814918518066,test,tuned_FFNN,promoters,10
0,0.3388238847255707,0.8242140412330627,0.6556039452552795,0.5589727759361267,0.8695808053016663,0.5452067852020264,0.6034443974494934,0.7615157961845398,0.8674276471138,0.34439605474472046,0.13257236778736115,0.4940182864665985,0.13374799489974976,0.1055266335606575,0.690466046333313,0.07025931030511856,0.9076417088508606,0.4410272538661957,0.0923583135008812,0.31019356846809387,0.4320947825908661,0.7615157961845398,0.6053633093833923,0.4666144847869873,4.945249557495117,0.39703139662742615,3.1931490898132324,train,FFNN,promoters,10
1,0.34816861152648926,0.816989541053772,0.6388616561889648,0.5438596606254578,0.861437201499939,0.5255433320999146,0.5875450968742371,0.7507559061050415,0.8626501560211182,0.36113837361335754,0.13734985888004303,0.4734441936016083,0.13034990429878235,0.10932572185993195,0.6866396069526672,0.07368473708629608,0.9030877351760864,0.45614033937454224,0.09691224247217178,0.31678664684295654,0.4159744381904602,0.7507559061050415,0.5894498229026794,0.4469473958015442,4.651341915130615,0.4186382293701172,3.0121302604675293,test,FFNN,promoters,10
0,0.34682410955429077,0.7961178421974182,0.0007361511816270649,0.8571428656578064,0.8622174263000488,0.5232701897621155,0.0014710389077663422,0.5003523230552673,0.9999685287475586,0.9992638230323792,3.144505899399519e-05,0.021455751731991768,0.0001501802180428058,2.5030036340467632e-05,0.7959676384925842,0.20385712385177612,0.7961071729660034,0.1428571492433548,0.20389285683631897,0.17131632566452026,0.0007360608433373272,0.5003523230552673,0.025119449943304062,0.6532500386238098,23.336496353149414,0.999295175075531,1.0014102458953857,train,tuned_FFNN,promoters,11
1,0.3515341877937317,0.7959653735160828,0.0004906771355308592,0.5,0.8576833009719849,0.5135794878005981,0.0009803922148421407,0.5001824498176575,0.9998742341995239,0.999509334564209,0.0001257782569155097,0.010393221862614155,0.00010011513222707435,0.00010011513222707435,0.7958652377128601,0.20393452048301697,0.7960246205329895,0.5,0.2039753645658493,0.3360099792480469,0.000490436505060643,0.5001824498176575,0.015663286671042442,0.2960246205329895,3.898029327392578,0.9996349215507507,1.0007299184799194,test,tuned_FFNN,promoters,11
0,0.3369766175746918,0.825365424156189,0.48377400636672974,0.5874115228652954,0.8739278316497803,0.5614404678344727,0.5305792689323425,0.6983434557914734,0.912912905216217,0.5162259936332703,0.08708708733320236,0.4275573790073395,0.09869343042373657,0.0693206861615181,0.7266719937324524,0.10531387478113174,0.8734186887741089,0.4125884473323822,0.1265813261270523,0.2978922426700592,0.3610805869102478,0.6983434557914734,0.5330801010131836,0.4608302116394043,5.5550537109375,0.5654711723327637,2.315027952194214,train,FFNN,promoters,11
1,0.34345221519470215,0.8219452500343323,0.4762021601200104,0.5771632194519043,0.8679567575454712,0.5501019358634949,0.5218443274497986,0.6933869123458862,0.9105716347694397,0.523797869682312,0.08942833542823792,0.41656792163848877,0.09716173261404037,0.07118185609579086,0.7247834801673889,0.10687290132045746,0.871493935585022,0.4228367507457733,0.12850607931613922,0.30233511328697205,0.3530374765396118,0.6933869123458862,0.5242578983306885,0.44865715503692627,5.324952602386475,0.5752406120300293,2.2614388465881348,test,FFNN,promoters,11
0,0.3492419719696045,0.8200715780258179,0.35697197914123535,0.5990323424339294,0.8644391894340515,0.556980311870575,0.44735729694366455,0.6478663682937622,0.9387607574462891,0.6430280208587646,0.061239250004291534,0.36467722058296204,0.0728248879313469,0.04874599352478981,0.7472466826438904,0.13118241727352142,0.8506624698638916,0.40096768736839294,0.1493375152349472,0.29288050532341003,0.2881263494491577,0.6478663682937622,0.46242594718933105,0.44969481229782104,5.829127311706543,0.6849753260612488,1.8398306369781494,train,tuned_FFNN,promoters,12
1,0.353676438331604,0.8185913562774658,0.3508341610431671,0.5938538312911987,0.8607285618782043,0.5536885261535645,0.4410857558250427,0.6446642875671387,0.9384944438934326,0.6491658687591553,0.06150556728243828,0.35811200737953186,0.07158231735229492,0.04895630106329918,0.7470090389251709,0.1324523240327835,0.8493938446044922,0.40614616870880127,0.1506061851978302,0.2951308488845825,0.2829442024230957,0.6446642875671387,0.4564473628997803,0.4432476758956909,5.704094886779785,0.6917097568511963,1.814239740371704,test,tuned_FFNN,promoters,12
0,0.33753710985183716,0.826604425907135,0.5434635877609253,0.5800811648368835,0.8731776475906372,0.5540680289268494,0.5611757040023804,0.7213175296783447,0.8991714119911194,0.4565364122390747,0.10082858055830002,0.45364898443222046,0.11087054759263992,0.080258809030056,0.7157338857650757,0.09313676506280899,0.8848558068275452,0.41991880536079407,0.11514420062303543,0.3010566830635071,0.39002376794815063,0.7213175296783447,0.5614739656448364,0.4649369716644287,5.389970302581787,0.5077300667762756,2.5883126258850098,train,FFNN,promoters,12
